region,year,GenDebt,GDPGrowth,GenSpend,Inflation,GovRevenue,PopGrowth,UrbanPopGrowth,Unemp,AgeDepRatio,HealthSpend,MiliSpend,EduSpend,Corruption
Finland,2012,56.7,-1.522840285,55.6213756,2.808336226,53.45447105,0.475809487,1.100086716,7.689,28.33766726,9.59,1.526584659,7.148039818,90
Finland,2013,59.62,-0.979741028,57.04604982,1.478286157,54.51087731,0.460723773,0.794913367,8.193,29.56909408,9.81,1.533860935,7.124040127,89
Finland,2014,64.46,-0.478068319,57.56381919,1.041196212,54.56122028,0.413560208,0.47228159,8.663,30.76099795,9.78,1.451930187,7.102369785,89
Finland,2015,68.33,0.466503518,56.81043998,-0.20792884,54.37124153,0.329383886,0.388059711,9.376,31.85844629,9.65,1.449960972,7.032080173,90
Finland,2016,68.02,2.571934232,56.11147939,0.356684501,54.39905061,0.287421402,0.346086568,8.818,32.81675001,9.38,1.419652626,6.851530075,89
Finland,2017,66.04,3.303370161,54.01324397,0.754015047,53.35638568,0.234670532,0.293287961,8.64,33.74934479,9.13,1.351297608,6.363110065,85
Finland,2018,64.84,1.19297773,53.73881546,1.083820984,52.87984304,0.132641041,0.199422968,7.361,34.68724924,9.05,1.362534374,6.275579929,85
Finland,2019,64.88,1.349738438,53.63788058,1.02409393,52.6874282,0.11019169,0.185101615,6.695,35.54704952,9.17,1.353717616,6.416950226,86
Finland,2020,74.74,-2.49103621,57.585231,0.290554556,51.97747761,0.143641197,0.226703842,7.759,36.36387028,9.63,1.425822768,6.634940147,85
France,2012,90.6,0.183835271,57.88955254,1.954195316,52.7210053,0.483714919,0.808794763,9.841,27.32493746,11.29740047,1.8710806,5.488356113,71
France,2013,93.41,0.781756446,58.58932856,0.863715498,53.65363864,0.516915013,0.84220457,9.913,28.17954597,11.39603043,1.849875918,5.492893696,71
France,2014,94.89,0.997832938,58.39163908,0.507758823,53.8202832,0.474847846,0.801602267,10.273,29.06435771,11.53937244,1.862961439,5.489204407,69
France,2015,95.58,1.066754735,57.59511439,0.037514381,53.70790069,0.35556924,0.683771062,10.354,29.96916495,11.44817352,1.872258281,5.446427345,70
France,2016,97.96,0.860031082,57.37920503,0.183334861,53.61648951,0.263868789,0.592247249,10.057,30.79034751,11.47060013,1.917282368,5.408058167,69
France,2017,98.13,2.083614851,57.66509388,1.032282751,54.30017965,0.290202116,0.618752779,9.41,31.52476687,11.35469437,1.908642012,5.451600075,70
France,2018,97.78,1.645908729,56.36923056,1.850815083,54.0475587,0.358494582,0.687212829,9.018,32.22839433,11.20798969,1.843008723,5.407169819,72
France,2019,97.43,2.027446476,55.3447959,1.108254923,52.95310802,0.332559129,0.661441007,8.415,32.92950249,11.0888586,1.836461471,5.354430199,69
France,2020,114.65,-7.44064593,61.69670911,0.476498853,52.76647819,0.324557781,0.653594576,8.01,33.56463187,12.13096142,1.996477743,5.659810066,69
Germany,2012,80.74,0.474291306,45.08341725,2.008488848,45.02910319,0.187727801,0.200687484,5.372,31.28265273,10.85345554,1.241677479,4.928440094,79
Germany,2013,78.32,0.386224576,45.15080494,1.504723303,45.27329037,0.272900215,0.285857247,5.316,31.55658269,10.99905777,1.185257901,4.935389996,78
Germany,2014,75.28,2.169498929,44.4977003,0.906794,45.22904893,0.416877359,0.429833546,4.98,31.82200239,11.02588272,1.149941997,4.921020031,79
Germany,2015,71.95,1.652719772,44.50579294,0.514426137,45.42096479,0.865702644,0.878656939,4.612,32.02686814,11.19047737,1.137338427,4.855150223,81
Germany,2016,68.96,2.294710677,44.71861106,0.491747008,45.85239557,0.807218539,0.838301068,4.104,32.24820948,11.241889,1.151230373,4.839230061,81
Germany,2017,65.21,2.716024519,44.56628571,1.509494851,45.90430817,0.37372456,0.421625392,3.781,32.63426172,11.33617592,1.153403721,4.871829987,81
Germany,2018,61.9,1.116443109,44.68871771,1.732168798,46.57346122,0.300526702,0.366515156,3.384,33.00591761,11.48051548,1.170548545,4.979330063,80
Germany,2019,59.55,0.987893349,45.56349862,1.445659769,46.89169081,0.225519874,0.308266936,3.163,33.42408389,11.71550655,1.26184145,5.11552,80
Germany,2020,68.75,-4.095137491,51.1298056,0.144877926,46.74868536,0.081693159,0.181157523,3.881,33.92378517,12.69255257,1.374271755,5.590380192,80
Greece,2012,162.11,-8.331133959,54.1483571,1.501526962,47.30264157,-0.540752951,-0.078674761,24.731,30.39272872,8.92415524,2.443775587,4.582202911,36
Greece,2013,178.84,-2.272116922,52.46035787,-0.921269454,48.44138791,-0.725120807,-0.270332501,27.686,31.19456675,8.43796444,2.367772009,4.495119095,40
Greece,2014,181.75,0.792225038,51.16229209,-1.312260964,46.89803426,-0.66611329,-0.218532603,26.708,31.98154317,7.89141178,2.352287668,4.321356773,43
Greece,2015,179.08,-0.228301959,51.55840967,-1.735888048,48.54483982,-0.658861361,-0.217128484,24.981,32.71376627,8.22004509,2.463303289,3.661390066,46
Greece,2016,183.7,-0.031795213,50.27922845,-0.825653978,50.5592736,-0.415913028,0.020056563,23.514,33.35050559,8.44874668,2.572120224,4.015610695,44
Greece,2017,183.21,1.473124985,48.66638407,1.12125452,49.72374754,-0.197783225,0.231212226,21.414,33.87845115,8.13515854,2.563489907,3.477089882,48
Greece,2018,190.67,2.064672533,48.85616156,0.625621413,49.63919676,-0.202880238,0.220496954,19.179,34.3558336,8.12024307,2.716453073,3.597340107,45
Greece,2019,185.53,2.277180636,48.07540221,0.253007522,47.9886816,-0.105339393,0.311210821,17.045,34.80410782,8.19811249,2.622453075,3.586129904,48
Greece,2020,212.43,-9.196231471,60.19790844,-1.247983556,49.63648913,-0.214592107,0.196455024,15.899,35.30067883,9.50363827,3.069343545,4.495000362,50
Hungary,2012,78.16,-1.250226023,49.11583694,5.652145171,46.79147381,-0.516437607,-0.056115994,11.003,24.79450096,7.41,1.026498561,4.142499924,55
Hungary,2013,77.2,1.802522101,50.06186103,1.73319985,47.4643781,-0.275368757,0.118529731,10.177,25.38505284,7.23,0.943403779,4.189219952,54
Hungary,2014,76.54,4.232209806,50.04582117,-0.227566271,47.27098005,-0.269378767,0.121535685,7.725,26.06663658,7.05,0.857809631,4.60187006,54
